make_model_ordinal,body_type_ordinal,price,km,type_ordinal,previous_owners,fuel_ordinal,inspection_new,drive_chain,co2_emission,gears,age,hp_kW,upholstery_type_ordinal,gearing_type_ordinal,displacement_cc,weight_kg,comb_consumption,comfort_convenience_package,num_of_extras,safety_security_package_labeled,entertainment_media_package_labeled
0,0,18490,41900.0,0,1.0,1,1,2,121.0,7.0,3.0,92.0,1,0,1395.0,1135.0,5.1,2,6,0,0
0,2,18480,15093.0,0,1.0,1,0,2,112.0,7.0,3.0,92.0,0,0,1395.0,1180.0,4.9,0,2,0,0
0,0,18480,5211.0,0,1.0,0,1,2,104.0,7.0,1.0,66.0,0,0,1422.0,1135.0,4.0,0,2,0,0
0,2,18470,12000.0,0,2.0,1,1,2,107.0,7.0,1.0,70.0,0,0,999.0,1180.0,4.6,0,4,0,0
0,2,18444,50066.0,0,1.0,1,1,2,112.0,7.0,3.0,92.0,0,0,1395.0,1180.0,4.9,0,3,0,1
0,2,18400,51484.0,0,1.0,1,0,2,103.0,7.0,2.0,71.0,0,0,999.0,1065.0,4.4,2,1,0,1
0,0,18400,14770.0,1,1.0,0,0,2,99.0,7.0,1.0,85.0,0,0,1598.0,1135.0,3.8,2,1,0,1
0,0,18900,12415.0,0,1.0,0,0,2,105.0,7.0,1.0,85.0,0,0,1598.0,1275.0,4.0,2,1,0,1
0,0,18900,26064.0,0,1.0,0,0,2,105.0,7.0,1.0,85.0,0,0,1598.0,1275.0,4.0,2,1,0,0
0,0,18900,16500.0,1,1.0,0,0,2,105.0,7.0,1.0,85.0,0,0,1598.0,1275.0,4.0,2,5,0,0
0,0,18900,9000.0,0,1.0,1,0,2,112.0,7.0,3.0,92.0,1,0,1395.0,1215.0,4.9,2,2,0,1
0,0,18900,12402.0,0,1.0,0,0,2,105.0,7.0,1.0,85.0,1,0,1598.0,1275.0,4.0,2,1,0,1
0,0,18900,14702.0,0,1.0,0,0,2,105.0,7.0,1.0,85.0,1,0,1598.0,1275.0,4.0,2,1,0,1
0,0,18900,14523.0,1,1.0,0,1,2,105.0,7.0,1.0,85.0,0,0,1598.0,1275.0,4.0,2,1,0,1
0,0,18900,9082.0,0,1.0,0,0,2,105.0,7.0,1.0,85.0,0,0,1598.0,1275.0,4.0,2,1,0,1
0,0,18900,9580.0,0,1.0,0,0,2,92.0,5.0,1.0,85.0,0,0,1598.0,1175.0,3.5,2,3,0,1
0,0,18900,10013.0,0,1.0,0,0,2,92.0,5.0,1.0,85.0,0,0,1598.0,1175.0,3.5,2,3,0,1
0,0,18900,10450.0,0,1.0,0,0,2,92.0,5.0,1.0,85.0,0,0,1598.0,1175.0,3.5,2,3,0,1
0,0,18900,14878.0,0,1.0,0,0,2,105.0,7.0,1.0,85.0,0,0,1598.0,1275.0,4.0,2,1,0,1
0,0,18900,10273.0,0,1.0,0,0,2,92.0,5.0,1.0,85.0,0,0,1598.0,1175.0,3.5,2,3,0,1
0,2,18900,47500.0,0,1.0,1,0,2,103.0,7.0,3.0,71.0,0,0,999.0,1065.0,4.4,0,2,0,1
0,0,18900,9466.0,0,1.0,0,0,2,92.0,5.0,1.0,85.0,0,0,1598.0,1175.0,3.5,2,3,0,1
0,0,18900,18971.0,0,1.0,0,0,2,97.0,7.0,1.0,85.0,0,0,1598.0,1200.0,3.7,2,1,0,1
0,2,18900,31877.0,0,1.0,1,0,2,103.0,7.0,1.0,70.0,0,0,999.0,1165.0,4.5,2,2,0,1
0,0,18900,9878.0,0,1.0,0,0,2,92.0,5.0,1.0,85.0,0,0,1598.0,1175.0,3.5,2,3,0,1
0,2,18900,17535.0,0,1.0,1,0,2,107.0,7.0,1.0,70.0,0,0,999.0,1180.0,4.6,0,3,0,0
0,2,18850,76264.0,0,1.0,1,0,2,112.0,7.0,3.0,92.0,0,0,1395.0,1115.0,4.9,2,1,0,1
0,2,18850,6695.0,0,1.0,1,0,2,102.0,7.0,1.0,70.0,0,0,999.0,1180.0,4.6,0,3,0,0
0,0,18850,21275.0,0,1.0,1,1,2,112.0,7.0,3.0,92.0,0,0,1395.0,1135.0,4.9,0,4,0,0
0,0,18850,12261.0,0,2.0,0,0,2,101.0,7.0,1.0,66.0,0,0,1422.0,1665.0,3.9,2,1,0,1
0,0,18840,3620.0,0,1.0,1,1,2,104.0,7.0,1.0,70.0,0,0,999.0,1135.0,4.4,0,3,0,0
0,0,18800,8330.0,0,1.0,0,1,2,92.0,5.0,1.0,85.0,0,0,1598.0,1250.0,3.5,2,2,0,0
0,2,18750,20306.0,1,1.0,1,1,2,102.0,7.0,1.0,70.0,0,0,999.0,1165.0,4.4,2,2,0,0
0,2,18730,1.0,2,1.0,1,0,2,108.0,7.0,0.0,85.0,0,0,999.0,1200.0,4.8,2,1,0,0
0,0,18700,27000.0,1,1.0,0,0,2,97.0,7.0,3.0,85.0,0,0,1598.0,1275.0,3.7,2,1,0,0
0,0,18690,31750.0,0,1.0,1,1,2,104.0,7.0,3.0,92.0,1,0,1395.0,1180.0,4.6,0,4,0,0
0,0,18600,19800.0,0,1.0,1,0,2,102.0,7.0,2.0,70.0,1,0,999.0,1165.0,4.4,2,3,0,0
0,0,18500,52000.0,0,1.0,0,0,2,105.0,7.0,3.0,85.0,1,0,1598.0,1275.0,4.0,2,2,0,1
0,0,18500,15500.0,0,1.0,1,0,2,102.0,7.0,1.0,70.0,0,0,999.0,1135.0,4.4,0,5,0,0
0,2,18620,25977.0,0,1.0,1,1,2,113.0,7.0,3.0,92.0,0,0,1395.0,1180.0,5.0,0,2,0,0
0,0,18500,9000.0,0,1.0,1,0,2,102.0,7.0,2.0,70.0,0,0,999.0,1135.0,4.4,0,2,0,0
0,0,18500,65000.0,0,2.0,0,0,2,99.0,7.0,2.0,66.0,0,0,1422.0,1250.0,3.8,2,1,0,1
0,0,18500,14493.0,0,1.0,0,0,2,105.0,7.0,1.0,85.0,0,0,1598.0,1275.0,4.0,2,1,0,1
0,0,18500,33500.0,0,1.0,1,0,2,112.0,7.0,2.0,92.0,0,0,1395.0,1215.0,4.9,2,3,0,0
0,2,18333,4800.0,1,1.0,1,1,2,102.0,7.0,1.0,70.0,0,0,999.0,1165.0,4.4,0,3,0,0
0,2,18350,51000.0,0,1.0,1,0,2,103.0,7.0,3.0,70.0,0,0,999.0,1040.0,4.4,2,1,0,1
0,0,18349,7307.0,0,1.0,1,1,2,104.0,7.0,2.0,70.0,1,0,999.0,1165.0,4.4,0,2,0,0
0,2,18333,4800.0,1,1.0,1,1,2,102.0,7.0,1.0,70.0,0,0,999.0,1165.0,4.4,0,3,0,0
0,2,18333,5500.0,1,1.0,1,1,2,102.0,7.0,1.0,70.0,0,0,999.0,1165.0,4.4,0,3,0,0
0,0,18300,35500.0,0,1.0,0,0,2,104.0,7.0,1.0,66.0,0,0,1422.0,1220.0,4.0,2,3,0,0
0,0,18300,18000.0,0,2.0,1,0,2,112.0,7.0,2.0,92.0,0,0,1395.0,1135.0,4.9,2,2,0,0
0,0,18290,40000.0,0,2.0,1,0,2,104.0,7.0,2.0,92.0,0,0,1395.0,1660.0,4.6,2,2,1,1
0,0,18250,14551.0,1,1.0,0,0,2,105.0,7.0,1.0,85.0,0,0,1598.0,1135.0,4.0,2,1,0,0
0,0,18200,16500.0,0,1.0,0,0,2,99.0,6.0,1.0,85.0,0,0,999.0,1135.0,3.8,0,6,0,0
0,2,18185,26700.0,0,1.0,0,1,2,99.0,7.0,3.0,85.0,0,0,1598.0,1180.0,3.8,0,4,0,0
0,0,18150,8000.0,0,2.0,1,0,2,102.0,7.0,2.0,70.0,0,0,999.0,1165.0,4.4,0,2,0,0
0,2,18000,15000.0,0,1.0,0,0,2,99.0,6.0,1.0,85.0,0,0,1598.0,1225.0,3.8,2,3,0,0
0,2,17998,14436.0,0,2.0,1,1,2,123.0,7.0,2.0,92.0,0,0,1395.0,1180.0,5.2,0,2,0,1
0,2,17998,72624.0,0,2.0,1,1,2,123.0,7.0,3.0,92.0,1,0,1395.0,1180.0,5.2,0,3,0,1
0,0,17990,13960.0,0,1.0,0,1,2,103.0,7.0,3.0,66.0,0,0,1422.0,1195.0,3.9,0,3,0,0
0,0,17990,40301.0,0,1.0,1,1,2,123.0,7.0,3.0,92.0,0,0,1395.0,1135.0,5.2,0,3,0,1
0,0,17990,19990.0,0,1.0,1,0,2,104.0,7.0,2.0,71.0,0,0,999.0,1135.0,4.6,2,2,0,1
0,2,17990,3087.0,0,1.0,1,1,2,102.0,7.0,1.0,70.0,0,0,999.0,1180.0,4.4,2,1,0,0
0,2,17989,37626.0,0,1.0,0,0,2,109.0,7.0,3.0,66.0,0,0,1422.0,1195.0,4.1,0,3,0,0
0,0,17980,22980.0,0,1.0,1,1,2,102.0,7.0,2.0,70.0,0,0,999.0,1135.0,4.4,0,3,0,0
0,2,17980,57926.0,0,1.0,0,1,2,99.0,7.0,3.0,66.0,0,0,1422.0,1180.0,3.8,2,1,0,0
0,2,17970,3900.0,0,2.0,1,0,2,112.0,7.0,2.0,92.0,0,0,1395.0,1215.0,4.9,0,2,0,0
0,0,17980,7924.0,0,1.0,1,1,2,112.0,7.0,3.0,92.0,0,0,1395.0,1135.0,4.9,0,3,0,0
0,2,17970,6257.0,0,1.0,0,0,2,106.0,7.0,2.0,85.0,0,0,1598.0,1250.0,4.0,0,2,0,0
0,0,17950,29800.0,0,1.0,0,0,2,97.0,7.0,3.0,85.0,0,0,1598.0,1200.0,3.7,2,1,0,0
0,2,17950,35816.0,0,1.0,1,0,2,102.0,7.0,3.0,70.0,0,0,999.0,1065.0,4.4,2,1,0,1
0,0,17950,12960.0,0,1.0,1,1,2,112.0,7.0,1.0,92.0,1,0,1395.0,1135.0,4.9,0,4,0,0
0,2,17950,8600.0,1,1.0,1,1,2,102.0,7.0,1.0,70.0,0,0,999.0,1165.0,4.4,0,3,0,0
0,0,17950,14300.0,0,2.0,0,0,2,99.0,7.0,2.0,70.0,0,0,999.0,1090.0,3.8,0,3,0,0
0,0,17944,9463.0,0,1.0,1,1,2,102.0,7.0,1.0,70.0,0,0,999.0,1165.0,4.4,0,1,0,0
0,2,17940,20326.0,0,1.0,1,1,2,112.0,7.0,3.0,92.0,0,0,1395.0,1180.0,4.9,0,3,0,0
0,2,17950,70000.0,0,2.0,1,1,2,102.0,7.0,3.0,70.0,1,0,999.0,1180.0,4.4,0,4,0,0
0,0,17500,23664.0,0,2.0,0,0,2,99.0,7.0,1.0,66.0,0,0,1422.0,1135.0,3.8,2,2,0,1
0,0,17500,51900.0,0,1.0,0,1,2,99.0,7.0,3.0,66.0,1,0,1422.0,1195.0,3.8,0,4,0,0
0,0,17500,15000.0,0,1.0,1,0,2,102.0,7.0,2.0,70.0,1,0,999.0,1165.0,4.4,2,1,0,1
0,0,17500,33000.0,0,1.0,1,0,2,112.0,7.0,3.0,92.0,1,0,1395.0,1215.0,4.9,2,3,0,0
0,0,17450,12000.0,0,2.0,0,0,2,99.0,7.0,3.0,66.0,1,0,1422.0,1217.0,3.8,2,1,0,1
0,0,17500,42000.0,0,1.0,0,0,2,99.0,7.0,2.0,66.0,0,0,1422.0,1220.0,3.8,2,2,0,0
0,0,17930,25976.0,0,1.0,0,0,2,106.0,7.0,2.0,85.0,0,0,1598.0,1275.0,4.0,0,2,0,0
0,0,17500,26299.0,0,1.0,1,0,2,102.0,5.0,2.0,70.0,0,0,999.0,1135.0,4.2,2,1,1,1
0,0,17495,40000.0,0,2.0,1,0,2,102.0,7.0,2.0,70.0,0,0,999.0,1135.0,4.4,0,2,0,0
0,0,17490,36530.0,0,1.0,0,0,2,99.0,7.0,2.0,66.0,0,0,1422.0,1220.0,3.8,0,3,0,0
0,0,17490,29159.0,0,1.0,0,0,2,99.0,7.0,2.0,67.0,0,0,1422.0,1135.0,3.8,2,2,0,1
0,0,17490,55000.0,0,2.0,1,1,2,137.0,7.0,3.0,141.0,0,0,1798.0,1255.0,5.8,0,4,0,0
0,0,17449,40133.0,0,1.0,1,1,2,107.0,7.0,3.0,70.0,0,0,999.0,1165.0,4.4,2,3,0,0
0,2,17445,38562.0,0,2.0,1,1,2,112.0,7.0,2.0,92.0,0,0,1395.0,1215.0,4.9,2,2,0,0
0,2,17444,7300.0,1,1.0,1,1,2,102.0,7.0,1.0,70.0,0,0,999.0,1165.0,4.4,0,3,0,0
0,1,17440,10457.0,0,2.0,1,0,2,112.0,7.0,2.0,92.0,0,0,1395.0,1215.0,4.9,0,2,0,0
0,2,17420,27058.0,0,1.0,1,1,2,102.0,7.0,3.0,70.0,1,0,999.0,1180.0,4.4,0,2,0,0
0,2,17450,38344.0,0,1.0,1,1,2,104.0,7.0,3.0,70.0,0,0,999.0,1180.0,4.4,0,3,0,0
